,,Parasite genus,Discocotyle,Octomacrum,Triganodistomum,Triganodistomum,Bucephalus,Bunodera,Bunoderina,Bucephalus,Bucephalopsis,Caecincola,Allocreadium,Acetodextra,Azygia,Azygia,Lebouria,Microphallus,Protometra,Plagioporus,Crepidostomum,Crepidostomum,Crepidostomum,Crepidostomum,Crepidostomum,Centrovarium,Centrovarium,Cryptogonimus,Clinostomum,Rhipidocotyle,Tetracotyle,Neascus,Diplostomulum,Diplostomum,Posthodiplostomum,Glaridacris,Abothrium,Bothriocephalus,Bothriocephalus,Bothriocephalus,Bothriocephalus,Eubothrium,Corallobothrium,Cyathocephalus,Diphyllobothrium,Ligula,Triaenophorus,Triaenophorus,Triaenophorus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Camallanus,Philometra,Philometra,Metabronema,Contracaecum,Cystidicola,Dichelyne,Dichelyne,Dichelyne,Haplonema,Hepaticola,Rhabdochona,Rhabdochona,Spiroxys,Spinitectus,Spinitectus,Spinitectus,Spinitectus,Echinorhynchus,Echinorhynchus,Echinorhynchus,Leptorhynchoides,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Octospinifer,Pomphorhynchus,Pomphorhynchus,Actinobdella,Illinobdella,Illinobdella,Illinobdella,Achtheres,Achtheres,Achtheres,Achtheres,Ergasilus,Salmincola,Salmincola,Salmincola,Argulus
,,Parasite species,salmonis,lanceatum,simeri,attenuatum,elegans,sacculata,eucaliae,sp.,pusilla,parvulus,lobatum,amiuri,angusticauda,longa,cooperi,opacus,macrostoma,sinitsini,cooperi,cornutum,ictaluri,isostomum,farionis,lobotes,lobotes (L),chyli,marginatum (L),papillosa,sp. (L),sp. (L),sp. (L),flexicaudum (L),minimum (L),catostomi,crassum,claviceps,cuspidatus,formosus,sp.,salvelini,fimbriatum,americanus,sp. (L),intestinalis (L),crassus,crassus (L),stizostedionis,ambloplitis,exiguus,pinguis,pearsei,stizostethi,laruei,oxycephalus,cylindracea (L),sp. (L),salvelini,brachyurum,stigmatura,cotylophora,robusta,sp.,hamulatum,bakeri,cascadilla,sp.,sp. (L),carolini,gracilis,gracilis (L),sp.,leidyi,salmonis,salmonis (L),thecatus,strigosus,crassus,cylindratus,rutili,tumidus,sp.,macilentus,bulbocolli,bulbocolli (L),triannulata,alba,moorei,sp.,ambloplitis,coregoni,corpulentus,micropteri,caeruleus,inermis,wisconsinsensis,sp.,sp.
Catostomus commersoni,152,9,0,2.6,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,14.5,0,81.6,0,34.2,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0.7,2.6,0,0,6.6,34.2,0,0,0,0,3.9,59.9,0,6.6,0,0,0,0,0,0,0,6.6,0,0,0,0
Catostomus catostomus,39,10,0,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.7,2.6,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,38.5,0,2.6,17.9,38.5,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,41,0,0,0,0
Semotilus atromaculatus,34,11,0,0,0,0,0,0,0,0,0,0,38.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,67.6,0,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinichthys cataractae,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrosomus eos,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,23.5,0,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notropis atherinoides,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notropis cornutus,6,15,0,0,0,0,0,0,0,0,0,0,16.7,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notropis hudsonius,100,16,0,0,0,0,0,0,0,1,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,60,0,80,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,1,0,1,0,0,0,23,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Notropis volucellus,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,63.6,0,90.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notropis heterolepis,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pimephales notatus,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0,0,0,11.8,58.8,0,82.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ictalurus nebulosus,14,20,0,0,0,0,0,0,0,0,0,0,0,42.9,7.1,0,0,7.1,0,0,0,0,50,0,0,7.1,0,0,0,0,0,0,85.7,0,0,0,0,0,0,0,0,0,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Esox lucius,66,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,0,0,0,0,90.9,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1,0,24.2,0,0,22.7,3,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
