source,target,weight
Thymallus arcticus,Schistocephalus,0
Host species,Triaenophorus,19
Catostomus catostomus,Triaenophorus,0
Coregonus clupeaformis,Triaenophorus,0
Cottus cognatus,Triaenophorus,0
Esox lucius,Triaenophorus,64.3
Prosopium cylindraceum,Triaenophorus,0
Salvelinus namaycush,Triaenophorus,0
Thymallus arcticus,Triaenophorus,0
Host species,Triaenophorus.1,20
Catostomus catostomus,Triaenophorus.1,0
Coregonus clupeaformis,Triaenophorus.1,96.8
Cottus cognatus,Triaenophorus.1,0
Esox lucius,Triaenophorus.1,0
Prosopium cylindraceum,Triaenophorus.1,5.3
Salvelinus namaycush,Triaenophorus.1,22.9
Thymallus arcticus,Triaenophorus.1,40.9
Host species,Capillaria,21
Catostomus catostomus,Capillaria,0
Coregonus clupeaformis,Capillaria,0
Cottus cognatus,Capillaria,0
Esox lucius,Capillaria,0
Prosopium cylindraceum,Capillaria,1.8
Salvelinus namaycush,Capillaria,21.3
Thymallus arcticus,Capillaria,2.3
Host species,Cystidicola,22
Catostomus catostomus,Cystidicola,16.7
Coregonus clupeaformis,Cystidicola,76.2
Cottus cognatus,Cystidicola,0
Esox lucius,Cystidicola,0
Prosopium cylindraceum,Cystidicola,42.1
Salvelinus namaycush,Cystidicola,82
Thymallus arcticus,Cystidicola,11.4
Host species,Raphidascaris,23
Catostomus catostomus,Raphidascaris,0
Coregonus clupeaformis,Raphidascaris,0
Cottus cognatus,Raphidascaris,0
Esox lucius,Raphidascaris,57.1
Prosopium cylindraceum,Raphidascaris,0
Salvelinus namaycush,Raphidascaris,0
Thymallus arcticus,Raphidascaris,0
Host species,Raphidascaris.1,24
Catostomus catostomus,Raphidascaris.1,0
Coregonus clupeaformis,Raphidascaris.1,9.5
Cottus cognatus,Raphidascaris.1,0
Esox lucius,Raphidascaris.1,0
Prosopium cylindraceum,Raphidascaris.1,0
Salvelinus namaycush,Raphidascaris.1,0
Thymallus arcticus,Raphidascaris.1,18.2
Host species,Neoechinorhynchus,25
Catostomus catostomus,Neoechinorhynchus,0
Coregonus clupeaformis,Neoechinorhynchus,95.2
Cottus cognatus,Neoechinorhynchus,34.4
Esox lucius,Neoechinorhynchus,7.1
Prosopium cylindraceum,Neoechinorhynchus,86
Salvelinus namaycush,Neoechinorhynchus,50.8
Thymallus arcticus,Neoechinorhynchus,18.2
Host species,Piscicola,26
Catostomus catostomus,Piscicola,0
Coregonus clupeaformis,Piscicola,1.6
Cottus cognatus,Piscicola,0
Esox lucius,Piscicola,7.1
Prosopium cylindraceum,Piscicola,3.5
Salvelinus namaycush,Piscicola,6.6
Thymallus arcticus,Piscicola,0
Host species,Salmincola,27
Catostomus catostomus,Salmincola,0
Coregonus clupeaformis,Salmincola,4.8
Cottus cognatus,Salmincola,0
Esox lucius,Salmincola,0
Prosopium cylindraceum,Salmincola,0
Salvelinus namaycush,Salmincola,0
Thymallus arcticus,Salmincola,0
Host species,Salmincola.1,28
Catostomus catostomus,Salmincola.1,0
Coregonus clupeaformis,Salmincola.1,0
Cottus cognatus,Salmincola.1,0
Esox lucius,Salmincola.1,0
Prosopium cylindraceum,Salmincola.1,0
Salvelinus namaycush,Salmincola.1,44.3
Thymallus arcticus,Salmincola.1,0
Host species,Salmincola.2,29
Catostomus catostomus,Salmincola.2,0
Coregonus clupeaformis,Salmincola.2,0
Cottus cognatus,Salmincola.2,0
Esox lucius,Salmincola.2,0
Prosopium cylindraceum,Salmincola.2,0
Salvelinus namaycush,Salmincola.2,0
Thymallus arcticus,Salmincola.2,34.1
