source,target,weight
Cottus cognatus,Octomacrum,0
Lota lota,Octomacrum,0
Mylocheilus caurinus,Octomacrum,0
Oncorhynchus nerka,Octomacrum,0
Prosopium coulteri,Octomacrum,0
Prosopium williamsoni,Octomacrum,0
Ptychocheilus oregonensis,Octomacrum,0
Rhinichthys cataractae,Octomacrum,0
Richardsonius balteatus,Octomacrum,0
Salmo gairdneri,Octomacrum,0
Salvelinus malma,Octomacrum,0
Salvelinus namaycush,Octomacrum,0
Thymallus arcticus,Octomacrum,0
Host species,Allocreadium,8
Catostomus catostomus,Allocreadium,0
Catostomus commersoni,Allocreadium,0
Catostomus macrocheilus,Allocreadium,0
Coregonus clupeaformis,Allocreadium,0
Cottus cognatus,Allocreadium,0
Lota lota,Allocreadium,0
Mylocheilus caurinus,Allocreadium,14.3
Oncorhynchus nerka,Allocreadium,0
Prosopium coulteri,Allocreadium,0
Prosopium williamsoni,Allocreadium,0
Ptychocheilus oregonensis,Allocreadium,3
Rhinichthys cataractae,Allocreadium,0
Richardsonius balteatus,Allocreadium,0
Salmo gairdneri,Allocreadium,0
Salvelinus malma,Allocreadium,0
Salvelinus namaycush,Allocreadium,0
Thymallus arcticus,Allocreadium,0
Host species,Bunodera,9
Catostomus catostomus,Bunodera,0
Catostomus commersoni,Bunodera,0
Catostomus macrocheilus,Bunodera,0
Coregonus clupeaformis,Bunodera,0
Cottus cognatus,Bunodera,0
Lota lota,Bunodera,0
Mylocheilus caurinus,Bunodera,0
Oncorhynchus nerka,Bunodera,0
Prosopium coulteri,Bunodera,0
Prosopium williamsoni,Bunodera,0
Ptychocheilus oregonensis,Bunodera,0
Rhinichthys cataractae,Bunodera,0
Richardsonius balteatus,Bunodera,0
Salmo gairdneri,Bunodera,8
Salvelinus malma,Bunodera,0
Salvelinus namaycush,Bunodera,0
Thymallus arcticus,Bunodera,0
Host species,Crepidostomum,10
Catostomus catostomus,Crepidostomum,0
Catostomus commersoni,Crepidostomum,0
Catostomus macrocheilus,Crepidostomum,0
Coregonus clupeaformis,Crepidostomum,3.5
Cottus cognatus,Crepidostomum,3.4
Lota lota,Crepidostomum,14.3
Mylocheilus caurinus,Crepidostomum,0
Oncorhynchus nerka,Crepidostomum,5.8
Prosopium coulteri,Crepidostomum,0
Prosopium williamsoni,Crepidostomum,2
Ptychocheilus oregonensis,Crepidostomum,0
Rhinichthys cataractae,Crepidostomum,0
Richardsonius balteatus,Crepidostomum,0
Salmo gairdneri,Crepidostomum,28
Salvelinus malma,Crepidostomum,14.9
Salvelinus namaycush,Crepidostomum,0
Thymallus arcticus,Crepidostomum,14
Host species,Phyllodistomum,11
Catostomus catostomus,Phyllodistomum,0
Catostomus commersoni,Phyllodistomum,0
Catostomus macrocheilus,Phyllodistomum,0
Coregonus clupeaformis,Phyllodistomum,0
Cottus cognatus,Phyllodistomum,0
Lota lota,Phyllodistomum,0
Mylocheilus caurinus,Phyllodistomum,0
Oncorhynchus nerka,Phyllodistomum,13.5
Prosopium coulteri,Phyllodistomum,0
Prosopium williamsoni,Phyllodistomum,0
Ptychocheilus oregonensis,Phyllodistomum,0
Rhinichthys cataractae,Phyllodistomum,0
Richardsonius balteatus,Phyllodistomum,0
Salmo gairdneri,Phyllodistomum,4
Salvelinus malma,Phyllodistomum,0
Salvelinus namaycush,Phyllodistomum,0
Thymallus arcticus,Phyllodistomum,0
Host species,Diplostomum,12
Catostomus catostomus,Diplostomum,0
Catostomus commersoni,Diplostomum,0
Catostomus macrocheilus,Diplostomum,0
Coregonus clupeaformis,Diplostomum,1.2
Cottus cognatus,Diplostomum,0
Lota lota,Diplostomum,0
Mylocheilus caurinus,Diplostomum,42.9
Oncorhynchus nerka,Diplostomum,0
Prosopium coulteri,Diplostomum,0
Prosopium williamsoni,Diplostomum,0
Ptychocheilus oregonensis,Diplostomum,3
Rhinichthys cataractae,Diplostomum,0
Richardsonius balteatus,Diplostomum,10
Salmo gairdneri,Diplostomum,0
Salvelinus malma,Diplostomum,0
Salvelinus namaycush,Diplostomum,0
Thymallus arcticus,Diplostomum,0
Host species,Diplostomum.1,13
Catostomus catostomus,Diplostomum.1,0
Catostomus commersoni,Diplostomum.1,0
Catostomus macrocheilus,Diplostomum.1,2
Coregonus clupeaformis,Diplostomum.1,5.8
Cottus cognatus,Diplostomum.1,3.4
Lota lota,Diplostomum.1,14.3
Mylocheilus caurinus,Diplostomum.1,0
Oncorhynchus nerka,Diplostomum.1,13.5
Prosopium coulteri,Diplostomum.1,0
Prosopium williamsoni,Diplostomum.1,2
Ptychocheilus oregonensis,Diplostomum.1,6.1
Rhinichthys cataractae,Diplostomum.1,0
Richardsonius balteatus,Diplostomum.1,10
Salmo gairdneri,Diplostomum.1,4
Salvelinus malma,Diplostomum.1,7.9
Salvelinus namaycush,Diplostomum.1,45.8
Thymallus arcticus,Diplostomum.1,0
Host species,Neascus,14
Catostomus catostomus,Neascus,0
Catostomus commersoni,Neascus,0
Catostomus macrocheilus,Neascus,0
Coregonus clupeaformis,Neascus,0
Cottus cognatus,Neascus,0
Lota lota,Neascus,0
Mylocheilus caurinus,Neascus,0
Oncorhynchus nerka,Neascus,0
Prosopium coulteri,Neascus,0
Prosopium williamsoni,Neascus,0
Ptychocheilus oregonensis,Neascus,3
Rhinichthys cataractae,Neascus,0
Richardsonius balteatus,Neascus,0
Salmo gairdneri,Neascus,0
Salvelinus malma,Neascus,0
Salvelinus namaycush,Neascus,0
Thymallus arcticus,Neascus,0
Host species,Tetracotyle,15
Catostomus catostomus,Tetracotyle,2
Catostomus commersoni,Tetracotyle,18.2
Catostomus macrocheilus,Tetracotyle,4.1
Coregonus clupeaformis,Tetracotyle,5.8
Cottus cognatus,Tetracotyle,3.4
Lota lota,Tetracotyle,0
