source,target,weight
Percina caprodes,Anonchohaptor,0
Cottus bairdi,Anonchohaptor,0
Host species,Cleidodiscus,4
Salvelinus namaycush,Cleidodiscus,0
Coregonus clupeaformis,Cleidodiscus,0
Coregonus artedii,Cleidodiscus,0
Esox lucius,Cleidodiscus,0
Carpiodes cyprinus,Cleidodiscus,0
Catostomus commersoni,Cleidodiscus,0
Moxostoma anisurum,Cleidodiscus,0
Chrosomus neogaeus,Cleidodiscus,0
Couesius plumbeus,Cleidodiscus,0
Notropis anogenus,Cleidodiscus,0
Notropis atherinoides,Cleidodiscus,0
Notropis hudsonius,Cleidodiscus,0
Pimephales notatus,Cleidodiscus,0
Pimephales promelas,Cleidodiscus,0
Semotilus margarita,Cleidodiscus,0
Ictalurus nebulosus,Cleidodiscus,0
Noturus gyrinus,Cleidodiscus,0
Lota lota,Cleidodiscus,0
Culaea inconstans,Cleidodiscus,0
Percopsis omiscomaycus,Cleidodiscus,0
Ambloplites rupestris,Cleidodiscus,0
Lepomis gibbosus,Cleidodiscus,0
Micropterus dolomieui,Cleidodiscus,0
Pomoxis nigromaculatus,Cleidodiscus,0
Perca flavescens,Cleidodiscus,0
Stizostedion canadense,Cleidodiscus,83.3
Stizostedion vitreum,Cleidodiscus,55.2
Etheostoma exile,Cleidodiscus,0
Etheostoma nigrum,Cleidodiscus,0
Percina caprodes,Cleidodiscus,0
Cottus bairdi,Cleidodiscus,0
Host species,Cleidodiscus.1,5
Salvelinus namaycush,Cleidodiscus.1,0
Coregonus clupeaformis,Cleidodiscus.1,0
Coregonus artedii,Cleidodiscus.1,0
Esox lucius,Cleidodiscus.1,0
Carpiodes cyprinus,Cleidodiscus.1,0
Catostomus commersoni,Cleidodiscus.1,0
Moxostoma anisurum,Cleidodiscus.1,0
Chrosomus neogaeus,Cleidodiscus.1,0
Couesius plumbeus,Cleidodiscus.1,0
Notropis anogenus,Cleidodiscus.1,0
Notropis atherinoides,Cleidodiscus.1,0
Notropis hudsonius,Cleidodiscus.1,0
Pimephales notatus,Cleidodiscus.1,0
Pimephales promelas,Cleidodiscus.1,0
Semotilus margarita,Cleidodiscus.1,0
Ictalurus nebulosus,Cleidodiscus.1,0
Noturus gyrinus,Cleidodiscus.1,0
Lota lota,Cleidodiscus.1,0
Culaea inconstans,Cleidodiscus.1,0
Percopsis omiscomaycus,Cleidodiscus.1,0
Ambloplites rupestris,Cleidodiscus.1,0
Lepomis gibbosus,Cleidodiscus.1,0
Micropterus dolomieui,Cleidodiscus.1,0
Pomoxis nigromaculatus,Cleidodiscus.1,0
Perca flavescens,Cleidodiscus.1,40.3
Stizostedion canadense,Cleidodiscus.1,0
Stizostedion vitreum,Cleidodiscus.1,0
