source,target,weight
Stizostedion vitreum,Cyathocephalus,0
Host species,Eubothrium,13
Coregonus artedii,Eubothrium,0
Coregonus clupeaformis,Eubothrium,0
Salvelinus namaycush,Eubothrium,0
Oncorhynchus kisutch,Eubothrium,0
Esox lucius,Eubothrium,0
Catostomus catostomus,Eubothrium,0
Catostomus commersoni,Eubothrium,0
Lota lota,Eubothrium,79.3
Pungitius pungitius,Eubothrium,0
Stizostedion vitreum,Eubothrium,0
Host species,Eubothrium.1,14
Coregonus artedii,Eubothrium.1,0
Coregonus clupeaformis,Eubothrium.1,0
Salvelinus namaycush,Eubothrium.1,100
Oncorhynchus kisutch,Eubothrium.1,2.4
Esox lucius,Eubothrium.1,0
Catostomus catostomus,Eubothrium.1,0
Catostomus commersoni,Eubothrium.1,0
Lota lota,Eubothrium.1,0
Pungitius pungitius,Eubothrium.1,0
Stizostedion vitreum,Eubothrium.1,0
Host species,Bothriocephalus,15
Coregonus artedii,Bothriocephalus,0
Coregonus clupeaformis,Bothriocephalus,0
Salvelinus namaycush,Bothriocephalus,0
Oncorhynchus kisutch,Bothriocephalus,0
Esox lucius,Bothriocephalus,0
Catostomus catostomus,Bothriocephalus,0
Catostomus commersoni,Bothriocephalus,0
Lota lota,Bothriocephalus,0
Pungitius pungitius,Bothriocephalus,0
Stizostedion vitreum,Bothriocephalus,75
Host species,Diphyllobothrium,16
Coregonus artedii,Diphyllobothrium,1.2
Coregonus clupeaformis,Diphyllobothrium,0.1
Salvelinus namaycush,Diphyllobothrium,0
Oncorhynchus kisutch,Diphyllobothrium,5.5
Esox lucius,Diphyllobothrium,0
Catostomus catostomus,Diphyllobothrium,0
Catostomus commersoni,Diphyllobothrium,0
Lota lota,Diphyllobothrium,0
Pungitius pungitius,Diphyllobothrium,0
Stizostedion vitreum,Diphyllobothrium,0
Host species,Schistocephalus,17
Coregonus artedii,Schistocephalus,0
Coregonus clupeaformis,Schistocephalus,0
Salvelinus namaycush,Schistocephalus,0
Oncorhynchus kisutch,Schistocephalus,0.3
Esox lucius,Schistocephalus,1.6
Catostomus catostomus,Schistocephalus,0
Catostomus commersoni,Schistocephalus,0
Lota lota,Schistocephalus,0
Pungitius pungitius,Schistocephalus,31.6
Stizostedion vitreum,Schistocephalus,0
Host species,Triaenophorus,18
Coregonus artedii,Triaenophorus,0
Coregonus clupeaformis,Triaenophorus,0
Salvelinus namaycush,Triaenophorus,0
Oncorhynchus kisutch,Triaenophorus,0
Esox lucius,Triaenophorus,3.2
Catostomus catostomus,Triaenophorus,0
Catostomus commersoni,Triaenophorus,0
Lota lota,Triaenophorus,0
Pungitius pungitius,Triaenophorus,0
Stizostedion vitreum,Triaenophorus,0
Host species,Triaenophorus.1,19
Coregonus artedii,Triaenophorus.1,0.7
Coregonus clupeaformis,Triaenophorus.1,0
Salvelinus namaycush,Triaenophorus.1,0
Oncorhynchus kisutch,Triaenophorus.1,0
